company_ko,company_en,category,country,exchange,input_ticker,yahoo_symbol,currency,as_of_utc,price,previous_close,change,change_percent,day_high,day_low,volume,market_time,shares_outstanding,market_cap_local,market_cap_krw,krw_rate,source,data_status,error
넷마블,Netmarble,게임사,한국,KRX,KRX:251270,251270.KS,KRW,2026-08-18T04:06:44Z,37950.0,39100.0,-1150.0,-2.941176470588236,39450.0,37850.0,85007.0,2026-08-18T03:46:45Z,81934571.0,3109416969450.0,3109416969450.0,1.0,Yahoo Finance chart + yfinance shares cache,ok,
테이크투,Take-Two Interactive,게임사,미국,NASDAQ,NASDAQ:TTWO,TTWO,USD,2026-08-18T04:06:44Z,241.61,246.95,-5.339999999999975,-2.162381048795292,247.43,241.04,1653459.0,2026-08-17T20:00:00Z,185666663.0,44858922447.43,65494026773247.8,1460.0,Yahoo Finance chart + yfinance shares cache,ok,
엔씨소프트,NCSOFT,게임사,한국,KRX,KRX:036570,036570.KS,KRW,2026-08-18T04:06:44Z,232000.0,247500.0,-15500.0,-6.2626262626262585,244000.0,231000.0,88377.0,2026-08-18T03:46:48Z,19472884.0,4517709088000.0,4517709088000.0,1.0,Yahoo Finance chart + yfinance shares cache,ok,
씨,SEA,게임사,싱가포르/미국,NYSE,NYSE:SE,SE,USD,2026-08-18T04:06:44Z,119.45,121.94,-2.489999999999995,-2.0419878628833765,121.49,119.06,3889957.0,2026-08-17T20:00:03Z,612484522.0,73161276152.90001,106815463183234.02,1460.0,Yahoo Finance chart + yfinance shares cache,ok,
펄어비스,Pearl Abyss,게임사,한국,KOSDAQ,KOSDAQ:263750,263750.KQ,KRW,2026-08-18T04:06:44Z,30700.0,31250.0,-550.0,-1.759999999999995,31300.0,30250.0,339322.0,2026-08-18T03:46:52Z,61442910.0,1886297337000.0,1886297337000.0,1.0,Yahoo Finance chart + yfinance shares cache,ok,
유비소프트,Ubisoft,게임사,프랑스,EPA,EPA:UBI,UBI.PA,EUR,2026-08-18T04:06:44Z,5.418,5.45,-0.03200000000000003,-0.5871559633027545,5.642,5.328,557142.0,2026-08-17T15:35:16Z,135945254.0,736551386.172,1266868384215.84,1720.0,Yahoo Finance chart + yfinance shares cache,ok,
텐센트,Tencent,게임사,중국/홍콩,HKG,HKG:0700,0700.HK,HKD,2026-08-18T04:06:44Z,438.6,446.4,-7.7999999999999545,-1.7473118279569766,446.2,437.6,12233647.0,2026-08-18T03:51:53Z,9016581024.0,3954672437126.4004,751387763054016.1,190.0,Yahoo Finance chart + yfinance shares cache,ok,
넷이즈,Netease,게임사,중국/미국,NASDAQ,NASDAQ:NTES,NTES,USD,2026-08-18T04:06:44Z,124.4,125.12,-0.7199999999999989,-0.5754475703324768,125.2,123.72,787376.0,2026-08-17T20:00:01Z,640715469.0,79705004343.6,116369306341656.02,1460.0,Yahoo Finance chart + yfinance shares cache,ok,
엠브레이서 그룹,Embracer Group,게임사,스웨덴,STO,STO:EMBRAC-B,EMBRAC-B.ST,SEK,2026-08-18T04:06:44Z,74.42,76.18,-1.7600000000000051,-2.3103176686794513,77.24,74.0,839581.0,2026-08-17T15:29:58Z,222316921.0,16544825260.82,2481723789123.0,150.0,Yahoo Finance chart + yfinance shares cache,ok,
데브시스터즈,Devsisters,게임사,한국,KOSDAQ,KOSDAQ:194480,194480.KQ,KRW,2026-08-18T04:06:44Z,18070.0,19650.0,-1580.0,-8.040712468193389,19370.0,17900.0,74757.0,2026-08-18T03:46:25Z,10964774.0,198133466180.0,198133466180.0,1.0,Yahoo Finance chart + yfinance shares cache,ok,
네오위즈,Neowiz,게임사,한국,KOSDAQ,KOSDAQ:095660,095660.KQ,KRW,2026-08-18T04:06:44Z,18240.0,19100.0,-860.0,-4.502617801047116,19090.0,18210.0,45725.0,2026-08-18T03:46:51Z,19573722.0,357024689280.0,357024689280.0,1.0,Yahoo Finance chart + yfinance shares cache,ok,
시프트업,Shift Up,게임사,한국,KRX,KRX:462870,462870.KS,KRW,2026-08-18T04:06:44Z,31100.0,31700.0,-600.0,-1.8927444794952675,31950.0,30950.0,31862.0,2026-08-18T03:46:45Z,58026385.0,1804620573500.0,1804620573500.0,1.0,Yahoo Finance chart + yfinance shares cache,ok,
